BUYER_ZIP,BUYER_COUNTY,BUYER_CITY,BUYER_STATE,COUNT
84120,SALT LAKE,WEST VALLEY CITY,UT,5883
86409,MOHAVE,KINGMAN,AZ,5882
63010,JEFFERSON,ARNOLD,MO,5882
8755,OCEAN,TOMS RIVER,NJ,5879
31794,TIFT,TIFTON,GA,5876
37203,DAVIDSON,NASHVILLE,TN,5869
22801,HARRISONBURG CITY,HARRISONBURG,VA,5863
29550,DARLINGTON,HARTSVILLE,SC,5856
85251,MARICOPA,SCOTTSDALE,AZ,5853
6460,NEW HAVEN,MILFORD,CT,5844
85741,PIMA,TUCSON,AZ,5841
97501,JACKSON,MEDFORD,OR,5837
93308,KERN,BAKERSFIELD,CA,5835
27215,ALAMANCE,BURLINGTON,NC,5827
8857,MIDDLESEX,OLD BRIDGE,NJ,5826
95758,SACRAMENTO,ELK GROVE,CA,5824
99362,WALLA WALLA,WALLA WALLA,WA,5821
29650,GREENVILLE,GREER,SC,5821
23452,VIRGINIA BEACH CITY,VIRGINIA BEACH,VA,5817
27288,ROCKINGHAM,EDEN,NC,5810
74701,BRYAN,DURANT,OK,5810
4240,ANDROSCOGGIN,LEWISTON,ME,5809
67401,SALINE,SALINA,KS,5805
85224,MARICOPA,CHANDLER,AZ,5804
84057,UTAH,OREM,UT,5799
48187,WAYNE,CANTON,MI,5793
48093,MACOMB,WARREN,MI,5788
14701,CHAUTAUQUA,JAMESTOWN,NY,5785
12550,ORANGE,NEWBURGH,NY,5783
10021,NEW YORK,NEW YORK,NY,5769
57701,PENNINGTON,RAPID CITY,SD,5764
30135,DOUGLAS,DOUGLASVILLE,GA,5763
28557,CARTERET,MOREHEAD CITY,NC,5762
70605,CALCASIEU,LAKE CHARLES,LA,5760
71854,MILLER,TEXARKANA,AR,5756
19124,PHILADELPHIA,PHILADELPHIA,PA,5755
21122,ANNE ARUNDEL,PASADENA,MD,5754
27103,FORSYTH,WINSTON-SALEM,NC,5751
48126,WAYNE,DEARBORN,MI,5743
43616,LUCAS,OREGON,OH,5741
76028,JOHNSON,BURLESON,TX,5741
70570,SAINT LANDRY,OPELOUSAS,LA,5741
29072,LEXINGTON,LEXINGTON,SC,5740
47303,DELAWARE,MUNCIE,IN,5739
97322,LINN,ALBANY,OR,5738
48146,WAYNE,LINCOLN PARK,MI,5735
33021,BROWARD,HOLLYWOOD,FL,5734
24073,MONTGOMERY,CHRISTIANSBURG,VA,5731
89103,CLARK,LAS VEGAS,NV,5727
46350,LA PORTE,LAPORTE,IN,5723
43082,DELAWARE,WESTERVILLE,OH,5717
38464,LAWRENCE,LAWRENCEBURG,TN,5717
39440,JONES,LAUREL,MS,5708
47421,LAWRENCE,BEDFORD,IN,5708
74017,ROGERS,CLAREMORE,OK,5706
49829,DELTA,ESCANABA,MI,5699
74953,LE FLORE,POTEAU,OK,5694
50317,POLK,DES MOINES,IA,5692
99352,BENTON,RICHLAND,WA,5692
91505,LOS ANGELES,BURBANK,CA,5691
48843,LIVINGSTON,HOWELL,MI,5682
27893,WILSON,WILSON,NC,5682
95661,PLACER,ROSEVILLE,CA,5679
40299,JEFFERSON,LOUISVILLE,KY,5677
92103,SAN DIEGO,SAN DIEGO,CA,5677
39401,FORREST,HATTIESBURG,MS,5676
77379,HARRIS,SPRING,TX,5670
37064,WILLIAMSON,FRANKLIN,TN,5669
43068,FRANKLIN,REYNOLDSBURG,OH,5663
8861,MIDDLESEX,PERTH AMBOY,NJ,5659
